releaseYear,totalMovies
2010,44497
1894,98
1892,8
1893,5
1895,114
1896,853
1898,1794
1897,1356
1900,1861
1899,1820
1901,1770
1902,1812
1903,2676
1905,1706
1904,1836
1912,8718
1907,2487
1906,1866
1908,4301
1910,6418
1909,5436
NULL,131154
1990,8239
1914,9366
1911,7754
1913,9779
1915,8586
1919,4229
1916,7100
1917,5730
1918,4762
1936,3298
1925,3467
1920,4579
1922,3667
1921,4290
1923,3080
1924,3160
1928,3585
2019,71240
2021,63420
1926,3471
1927,3617
1929,3827
2000,12599
1993,7907
1935,2955
1930,3255
1942,2462
1934,2998
1931,3355
1932,3126
1939,2969
1937,3299
1933,2950
1950,3113
1938,3187
1951,3137
1945,2032
1946,2325
1940,2586
1944,2030
1949,2927
1947,2538
1941,2530
1952,3405
1970,7356
1957,4500
1943,2232
1959,4572
1948,2721
2001,13899
1994,8230
1953,3708
1954,3849
1965,6316
1983,7261
1980,7456
1973,7029
1961,5290
1995,9090
1955,4089
1962,5403
1958,4479
1956,4266
1960,5006
1977,6787
1964,5954
2012,57209
1967,6654
1968,6771
1963,5713
1988,7727
1986,7420
1971,7332
1969,6986
1972,7065
1966,6301
1976,7021
1979,7332
2016,74402
2020,64671
1974,6846
1978,7150
1981,7247
1975,7153
1989,7803
2014,68170
1985,7623
1987,7546
2018,75358
1984,7475
1992,7930
2023,40212
1982,7143
1991,7887
2022,58907
2008,32278
1999,11642
2005,23373
2003,16907
1998,10961
2002,15206
1997,9965
2009,38965
1996,9390
2017,76500
2006,24968
2013,62300
2004,19753
2015,68846
2007,27871
2011,50706
1891,10
2024,2452
1888,5
1890,6
1889,2
2025,284
2026,53
2027,13
1878,3
2030,2
2028,2
1877,4
1882,2
1881,2
1887,45
2029,4
1874,1
1883,1
2031,1
1885,1
